,title,author,rank,isbn,weeks_on_list,dagger,published_date
0,ALONE,Lisa Gardner,1,9780553901139,2,0,2011-03-06
1,TICK TOCK,James Patterson and Michael Ledwidge,2,9780316129183,4,0,2011-03-06
2,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,3,9780307272119,4,0,2011-03-06
3,WATER FOR ELEPHANTS,Sara Gruen,4,9781565125858,4,0,2011-03-06
4,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,5,9780307272300,4,0,2011-03-06
5,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,6,9780307593672,4,0,2011-03-06
6,A DISCOVERY OF WITCHES,Deborah Harkness,7,9781101475690,2,0,2011-03-06
7,DREAMS OF A DARK WARRIOR,Kresley Cole,8,9781439177013,1,0,2011-03-06
8,CUTTING FOR STONE,Abraham Verghese,9,9780307271341,4,0,2011-03-06
9,THE HELP,Kathryn Stockett,10,9781440697661,4,0,2011-03-06
10,THE CONFESSION,John Grisham,11,9780385534130,4,0,2011-03-06
11,HER LAST LETTER,Nancy C Johnson,12,9780979190919,1,0,2011-03-06
12,DEAD OR ALIVE,Tom Clancy with Grant Blackwood,13,9781101476543,4,0,2011-03-06
13,ROOM,Emma Donoghue,14,9780316129114,4,0,2011-03-06
14,HOTEL ON THE CORNER OF BITTER AND SWEET,Jamie Ford,15,9780345512505,1,0,2011-03-06
15,MARRYING DAISY BELLAMY,Susan Wiggs,16,9781426884269,0,0,2011-03-06
16,THE LOST SYMBOL,Dan Brown,17,9781400079148,0,0,2011-03-06
17,THE POSTMISTRESS,Sarah Blake,18,9780425238691,0,0,2011-03-06
18,LITTLE BEE,Chris Cleave,19,9781416589648,0,0,2011-03-06
19,A HEARTBEAT AWAY,Michael Palmer,20,9781429994262,0,0,2011-03-06
20,TREACHERY IN DEATH,J D Robb,1,9781101475867,1,0,2011-03-13
21,ALONE,Lisa Gardner,2,9780553901139,3,0,2011-03-13
22,WATER FOR ELEPHANTS,Sara Gruen,3,9781565125858,5,0,2011-03-13
23,PALE DEMON,Kim Harrison,4,9780061138065,1,0,2011-03-13
24,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,5,9780307272119,5,0,2011-03-13
25,TICK TOCK,James Patterson and Michael Ledwidge,6,9780316129183,5,0,2011-03-13
26,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,7,9780307272300,5,0,2011-03-13
27,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,8,9780307593672,5,0,2011-03-13
28,GIDEON’S SWORD,Douglas Preston and Lincoln Child,9,9780446564328,1,0,2011-03-13
29,A DISCOVERY OF WITCHES,Deborah Harkness,10,9781101475690,3,0,2011-03-13
30,THIS SIDE OF THE GRAVE,Jeaniene Frost,11,9780062065797,1,0,2011-03-13
31,CUTTING FOR STONE,Abraham Verghese,12,9780307271341,5,0,2011-03-13
32,A CREED IN STONE CREEK,Linda Lael Miller,13,9780373775552,1,0,2011-03-13
33,HARVEST MOON,Ron Carr,14,9780778329428,1,0,2011-03-13
34,THE HELP,Kathryn Stockett,15,9781440697661,5,0,2011-03-13
35,THE PARIS WIFE,Paula McLain,16,9780345521323,0,0,2011-03-13
36,THE CONFESSION,John Grisham,17,9780385534130,0,0,2011-03-13
37,DREAMS OF A DARK WARRIOR,Kresley Cole,18,9781439136805,0,0,2011-03-13
38,ROOM,Emma Donoghue,19,9780316129114,0,0,2011-03-13
39,HER LAST LETTER,Nancy C Johnson,20,9780979190919,0,0,2011-03-13
40,SING YOU HOME,Jodi Picoult,1,9781439102725,1,0,2011-03-20
41,THE WISE MAN'S FEAR,Patrick Rothfuss,2,9780756404734,1,0,2011-03-20
42,RIVER MARKED,Patricia Briggs,3,9780441019731,1,0,2011-03-20
43,WATER FOR ELEPHANTS,Sara Gruen,4,9781565125605,6,0,2011-03-20
44,TICK TOCK,James Patterson and Michael Ledwidge,5,9780316129183,6,0,2011-03-20
45,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,6,9780307593672,6,0,2011-03-20
46,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,7,9780307272119,6,0,2011-03-20
47,TREACHERY IN DEATH,J D Robb,8,9781101475867,2,0,2011-03-20
