isbn,genre,pages,title,author,rank,weeks_on_list,dagger,published_date
9780735219106,Fiction,402,WHERE THE CRAWDADS SING,Delia Owens,15,175,0,2022-09-11
9780735219090,Fiction,386,WHERE THE CRAWDADS SING,Delia Owens,15,123,0,2021-03-14
9780307588388,Fiction,464,GONE GIRL,Gillian Flynn,20,122,0,2015-04-19
9781594634024,Fiction,336,THE GIRL ON THE TRAIN,Paula Hawkins,11,102,0,2017-02-19
9780307588371,Fiction,422,GONE GIRL,Gillian Flynn,10,91,0,2014-09-07
9780698185395,Fiction,336,THE GIRL ON THE TRAIN,Paula Hawkins,19,85,0,2016-10-23
9781501173219,Fiction,560,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,13,82,0,2021-10-24
9781612130293,Fiction,576,FIFTY SHADES OF GREY,E L James,20,81,0,2015-04-05
9780735224315,Fiction,368,LITTLE FIRES EVERYWHERE,Celeste Ng,15,81,0,2020-09-13
9781476746586,Fiction,531,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,20,78,0,2017-01-08
9780062797162,Fiction,288,THE TATTOOIST OF AUSCHWITZ,Heather Morris,9,70,0,2020-05-03
9780062797155,Fiction,288,THE TATTOOIST OF AUSCHWITZ,Heather Morris,15,69,0,2020-04-12
9781594633669,Fiction,336,THE GIRL ON THE TRAIN,Paula Hawkins,16,69,0,2016-07-03
9780525431886,Fiction,550,FIFTY SHADES DARKER,E L James,11,66,0,2017-03-05
9781612130590,Fiction,576,FIFTY SHADES DARKER,E L James,20,65,0,2017-02-26
9781501110368,FICTION,384,IT ENDS WITH US,Colleen Hoover,15,63,0,2022-09-11
9781466850606,Fiction,448,THE NIGHTINGALE,Kristin Hannah,20,63,0,2017-10-29
9781250080400,Fiction,448,THE NIGHTINGALE,Kristin Hannah,15,62,0,2017-05-14
9781501161933,Fiction,400,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,15,61,0,2022-09-11
9781612130613,Fiction,608,FIFTY SHADES FREED,E L James,20,60,0,2015-04-12
9781440697661,Fiction,544,THE HELP,Kathryn Stockett,20,58,0,2012-04-08
9780553897845,Fiction,835,A GAME OF THRONES,George RR Martin,20,58,0,2019-06-16
9780525559474,Fiction,304,THE MIDNIGHT LIBRARY,Matt Haig,15,57,0,2022-03-27
9781476738024,Fiction,337,A MAN CALLED OVE,Fredrik Backman,19,56,0,2017-07-23
9780425284704,Fiction,384,BEFORE WE WERE YOURS,Lisa Wingate,15,53,0,2020-02-02
9781449474256,Poetry,204,MILK AND HONEY,Rupi Kaur,19,53,0,2019-01-06
9780316055444,Fiction,784,THE GOLDFINCH,Donna Tartt,18,52,0,2019-10-20
9781101636237,Fiction,418,THE HUSBAND'S SECRET,Liane Moriarty,20,49,0,2015-08-09
9781250301703,Fiction,352,THE SILENT PATIENT,Alex Michaelides,15,48,0,2022-08-28
9780425232200,Fiction,534,THE HELP,Kathryn Stockett,6,45,0,2012-01-08
9780316248679,Fiction,784,THE GOLDFINCH,Donna Tartt,20,45,0,2014-09-28
9780345803481,Businessmen,514,FIFTY SHADES OF GREY,E L James,18,43,0,2014-01-05
9780525536291,Fiction,352,THE VANISHING HALF,Brit Bennett,15,42,0,2021-05-09
9780553418026,Fiction,369,THE MARTIAN,Andy Weir,20,40,0,2016-04-10
9780062101204,Fiction,400,ORPHAN TRAIN,Christina Baker Kline,20,39,0,2016-12-18
9781538724736,Fiction,336,VERITY,Colleen Hoover,14,38,0,2022-09-11
9780425274866,Fiction,512,BIG LITTLE LIES,Liane Moriarty,18,38,0,2017-05-21
9781984806758,FICTION,400,PEOPLE WE MEET ON VACATION,Emily Henry,15,37,0,2022-09-04
9781250209771,Fiction,400,AMERICAN DIRT,Jeanine Cummins,13,37,0,2021-01-17
9780698138636,Fiction,480,BIG LITTLE LIES,Liane Moriarty,18,37,0,2017-05-14
9780425284681,Fiction,342,BEFORE WE WERE YOURS,Lisa Wingate,14,36,0,2018-06-24
9781501171345,Fiction,320,THE LAST THING HE TOLD ME,Laura Dave,15,36,0,2022-03-13
9780804139038,Fiction,400,THE MARTIAN,Andy Weir,20,36,0,2016-05-08
9781250301697,Fiction,336,THE SILENT PATIENT,Alex Michaelides,14,36,0,2020-09-06
9780307593672,Fiction,576,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,20,35,0,2012-05-20
9781101972977,Fiction,624,INFERNO,Dan Brown,19,35,0,2016-11-27
9780425284698,Fiction,354,BEFORE WE WERE YOURS,Lisa Wingate,15,35,0,2018-06-10
9780312577223,Fiction,440,THE NIGHTINGALE,Kristin Hannah,12,35,0,2016-01-10
9781501132957,Fiction,340,THE WOMAN IN CABIN 10,Ruth Ware,14,35,0,2017-10-08
9781250209764,Fiction,400,AMERICAN DIRT,Jeanine Cummins,15,35,0,2020-10-11
9781565125858,Fiction,352,WATER FOR ELEPHANTS,Sara Gruen,20,34,0,2013-01-13
9781250301710,Fiction,304,THE SILENT PATIENT,Alex Michaelides,15,34,0,2020-05-31
9780735224308,Fiction,368,LITTLE FIRES EVERYWHERE,Celeste Ng,15,33,0,2018-06-24
9781476746609,Fiction,560,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,20,33,0,2015-05-17
9781476753188,Fiction,324,UGLY LOVE,Colleen Hoover,14,33,0,2022-09-11
9780735220690,Fiction,352,ELEANOR OLIPHANT IS COMPLETELY FINE,Gail Honeyman,15,33,0,2019-08-11
9780307272119,Fiction,480,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,20,31,0,2013-01-13
9780385490818,Fiction,328,THE HANDMAID'S TALE,Margaret Atwood,15,31,0,2019-10-20
9780385542692,Fiction,480,ORIGIN,Dan Brown,11,31,0,2018-10-14
9780062905086,Fiction,448,THE WOMAN IN THE WINDOW,A.J. Finn,14,31,0,2020-05-31
9780062963680,Fiction,352,THE DUTCH HOUSE,Ann Patchett,15,30,0,2021-02-07
9780062963697,Fiction,352,THE DUTCH HOUSE,Ann Patchett,15,29,0,2020-05-10
9780307588364,Fiction,419,GONE GIRL,Gillian Flynn,2,29,0,2013-01-06
9780307454560,Fiction,658,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,5,29,0,2012-03-25
9780062678423,Fiction,448,THE WOMAN IN THE WINDOW,A.J. Finn,14,28,0,2020-05-03
9780345543240,Fiction,642,SYCAMORE ROW,John Grisham,18,28,0,2014-10-12
9781400079155,Fiction,611,INFERNO,Dan Brown,17,28,0,2014-06-29
9780143130154,FICTION,369,ME BEFORE YOU,Jojo Moyes,20,28,0,2016-10-02
9780525620938,Fiction,592,THE RECKONING,John Grisham,14,28,0,2019-09-15
9781565125605,Fiction,350,WATER FOR ELEPHANTS,Sara Gruen,12,27,0,2011-08-14
9780525620945,Fiction,448,THE GUARDIANS,John Grisham,13,26,0,2020-09-06
9780062963673,Fiction,352,THE DUTCH HOUSE,Ann Patchett,15,25,0,2020-04-12
