isbn,genre,pages
9780735219106,Fiction,402
9780735219090,Fiction,386
9780307588388,Fiction,464
9781594634024,Fiction,336
9780307588371,Fiction,422
9780698185395,Fiction,336
9781501173219,Fiction,560
9781612130293,Fiction,576
9780735224315,Fiction,368
9781476746586,Fiction,531
9780062797162,Fiction,288
9780062797155,Fiction,288
9781594633669,Fiction,336
9780525431886,Fiction,550
9781612130590,Fiction,576
9781501110368,FICTION,384
9781466850606,Fiction,448
9781250080400,Fiction,448
9781501161933,Fiction,400
9781612130613,Fiction,608
9781440697661,Fiction,544
9780553897845,Fiction,835
9780525559474,Fiction,304
9781476738024,Fiction,337
9780425284704,Fiction,384
9781449474256,Poetry,204
9780316055444,Fiction,784
9781101636237,Fiction,418
9781250301703,Fiction,352
9780425232200,Fiction,534
9780316248679,Fiction,784
9780345803481,Businessmen,514
9780525536291,Fiction,352
9780553418026,Fiction,369
9780062101204,Fiction,400
9781538724736,Fiction,336
9780425274866,Fiction,512
9781984806758,FICTION,400
9781250209771,Fiction,400
9780698138636,Fiction,480
9780425284681,Fiction,342
9781501171345,Fiction,320
9780804139038,Fiction,400
9781250301697,Fiction,336
9780307593672,Fiction,576
9781101972977,Fiction,624
9780425284698,Fiction,354
9780312577223,Fiction,440
9781501132957,Fiction,340
9781250209764,Fiction,400
9781565125858,Fiction,352
9781250301710,Fiction,304
9780735224308,Fiction,368
9781476746609,Fiction,560
9781476753188,Fiction,324
9780735220690,Fiction,352
9780307272119,Fiction,480
9780385490818,Fiction,328
9780385542692,Fiction,480
9780062905086,Fiction,448
9780062963680,Fiction,352
9780062963697,Fiction,352
9780307588364,Fiction,419
9780307454560,Fiction,658
9780062678423,Fiction,448
9780345543240,Fiction,642
9781400079155,Fiction,611
9780143130154,FICTION,369
9780525620938,Fiction,592
9781565125605,Fiction,350
9780525620945,Fiction,448
9780062963673,Fiction,352
9780735219113,Fiction,384
9781455520664,Fiction,416
9780399562488,Fiction,400
9781101967683,Fiction,432
9780547345666,Fiction,320
9780345543257,Fiction,368
9780062868947,Fiction,320
9780307887443,Fiction,374
9780399562501,Fiction,416
9780385537865,Fiction,480
9780062060624,Fiction,416
9780735222373,Fiction,592
9781524797157,Fiction,368
9781501110344,Fiction,320
9781101606377,Fiction,400
9780385537926,Fiction,464
9780307272300,Fiction,512
9781501160837,Fiction,352
9780385537858,Fiction,461
9780735222359,Fiction,592
9780812550702,Fiction,352
9780385536882,Fiction,352
9780553573404,Fiction,835
9781429963930,Fiction,256
9780765387561,Fiction,448
9780593336823,FICTION,401
9781101883068,Fiction,496
9780062868954,Fiction,336
9781250165619,Fiction,464
9781250178602,Fiction,464
9780440335160,Fiction,896
9781101883082,Fiction,487
9780593157817,Fiction,640
9780385514231,Adventure stories,461
9781449486792,Poetry,248
9781250229533,Fiction,576
9780385544191,Fiction,400
9780062868930,Fiction,320
9780553393484,Fiction,400
9780345803573,Fiction,1700
9781501120602,Fiction,1120
9781501171369,Fiction,320
9780307269997,Fiction,563
9780063078901,Fiction,464
9780765388117,Fiction,336
9781982127794,Fiction,1184
9780345530578,Fiction,382
9780446574242,Fiction,352
9780385544184,Fiction,384
9781451627305,Fiction,864
9780385544153,Fiction,432
9781982148249,Fiction,576
9780143108863,Fiction,384
9780593157770,Fiction,352
9780345544964,Fiction,528
9781455520671,Fiction,512
9780345804327,FICTION,313
9781982138868,Fiction,656
9780385535250,Fiction,496
9780385542364,Fiction,320
9781594631764,Fiction,416
9780593334836,Fiction,400
9780062678447,Fiction,464
9781982110567,Fiction,576
9780385541206,Fiction,432
9780062424037,Fiction,464
9781455520695,Fiction,496
9780307459923,Fiction,368
9780399593536,Fiction,512
9780062409874,Fiction,288
9780385539166,Fiction,384
9781455520602,Fiction,576
9780385545969,Fiction,384
9780446542180,Fiction,336
9781451681765,Fiction,352
9780698175242,Fiction,384
9781250069832,Fiction,464
9780062409850,Fiction,288
9780446573047,Fiction,540
